index,volts0,volts1,volts2,volts3,PSD_x,PSD_y,PSD_sum_x,PSD_sum_y,normX,normY,time
0,-0.0290009,-0.0150005,1.62605,-0.578018,0.00198094,-0.00282489,-0.581887,1.11115,0.00340434,-0.0025423,1285
1,-0.0290009,-0.0150005,1.62905,-0.576018,0.00198094,-0.00282489,-0.579887,1.11415,0.00341609,-0.00253545,2822
2,-0.0290009,-0.0150005,1.62705,-0.580018,0.00198094,-0.00282489,-0.583887,1.11215,0.00339268,-0.00254001,4266
3,-0.0290009,-0.0150005,1.62605,-0.582018,0.00198094,-0.00282489,-0.585887,1.11115,0.0033811,-0.0025423,5712
4,-0.0290009,-0.0150005,1.62505,-0.582018,0.00198094,-0.00282489,-0.585887,1.11015,0.0033811,-0.00254459,7152
5,-0.0290009,-0.0150005,1.62305,-0.582018,0.00198094,-0.00282489,-0.585887,1.10815,0.0033811,-0.00254918,8691
6,-0.0290009,-0.0150005,1.62605,-0.584018,0.00198094,-0.00282489,-0.587887,1.11115,0.0033696,-0.0025423,10164
7,-0.0290009,-0.0150005,1.62605,-0.583018,0.00198094,-0.00282489,-0.586887,1.11115,0.00337534,-0.0025423,11631
8,-0.0290009,-0.0150005,1.62605,-0.583018,0.00198094,-0.00282489,-0.586887,1.11115,0.00337534,-0.0025423,13081
9,-0.0290009,-0.0150005,1.62405,-0.582018,0.00198094,-0.00282489,-0.585887,1.10915,0.0033811,-0.00254688,14521
10,-0.0290009,-0.0150005,1.62305,-0.582018,0.00198094,-0.00282489,-0.585887,1.10815,0.0033811,-0.00254918,15967
11,-0.0290009,-0.0150005,1.62405,-0.582018,0.00198094,-0.00282489,-0.585887,1.10915,0.0033811,-0.00254688,17454
12,-0.0290009,-0.0150005,1.62305,-0.587018,0.00198094,-0.00282489,-0.590887,1.10815,0.00335249,-0.00254918,18944
13,-0.0290009,-0.0150005,1.62205,-0.584018,0.00198094,-0.00282489,-0.587887,1.10715,0.0033696,-0.00255148,20381
14,-0.0290009,-0.0150005,1.62205,-0.586018,0.00198094,-0.00282489,-0.589887,1.10715,0.00335817,-0.00255148,21817
15,-0.0290009,-0.0150005,1.62205,-0.587018,0.00198094,-0.00282489,-0.590887,1.10715,0.00335249,-0.00255148,23265
16,-0.0290009,-0.0150005,1.62205,-0.589018,0.00198094,-0.00282489,-0.592887,1.10715,0.00334118,-0.00255148,24700
17,-0.0290009,-0.0150005,1.62105,-0.589018,0.00198094,-0.00282489,-0.592887,1.10615,0.00334118,-0.00255379,26134
18,-0.0290009,-0.0150005,1.62105,-0.590018,0.00198094,-0.00282489,-0.593887,1.10615,0.00333555,-0.00255379,27568
19,-0.0290009,-0.0150005,1.62105,-0.591018,0.00198094,-0.00282489,-0.594887,1.10615,0.00332995,-0.00255379,29002
20,-0.0290009,-0.0150005,1.62105,-0.589018,0.00198094,-0.00282489,-0.592887,1.10615,0.00334118,-0.00255379,30436
21,-0.0290009,-0.0150005,1.62005,-0.588018,0.00198094,-0.00282489,-0.591887,1.10515,0.00334683,-0.0025561,31870
22,-0.0290009,-0.0150005,1.62105,-0.589018,0.00198094,-0.00282489,-0.592887,1.10615,0.00334118,-0.00255379,33309
23,-0.0290009,-0.0150005,1.62105,-0.591018,0.00198094,-0.00282489,-0.594887,1.10615,0.00332995,-0.00255379,34741
24,-0.0290009,-0.0150005,1.62005,-0.587018,0.00198094,-0.00282489,-0.590887,1.10515,0.00335249,-0.0025561,36174
25,-0.0290009,-0.0150005,1.62105,-0.590018,0.00198094,-0.00282489,-0.593887,1.10615,0.00333555,-0.00255379,37609
26,-0.0290009,-0.0150005,1.61805,-0.593018,0.00198094,-0.00282489,-0.596887,1.10315,0.00331879,-0.00256074,39041
27,-0.0290009,-0.0150005,1.61705,-0.591018,0.00198094,-0.00282489,-0.594887,1.10215,0.00332995,-0.00256306,40474
28,-0.0290009,-0.0140004,1.61805,-0.595018,0.00298097,-0.00282489,-0.598887,1.10315,0.00497752,-0.00256074,41908
29,-0.0290009,-0.0150005,1.61805,-0.594018,0.00198094,-0.00282489,-0.597887,1.10315,0.00331324,-0.00256074,43345
30,-0.0290009,-0.0150005,1.61805,-0.593018,0.00198094,-0.00282489,-0.596887,1.10315,0.00331879,-0.00256074,44778
31,-0.0290009,-0.0150005,1.61605,-0.591018,0.00198094,-0.00282489,-0.594887,1.10115,0.00332995,-0.00256539,46211
